id,name,city,region,category,brand,brand_group,keys,year_opened,year_opened_verified,status,lat,lng,owner,data_quality,notes
23,Radisson Blu Resort Taghazout Bay,Agadir / Taghazout,Souss-Massa,Upper Upscale,Radisson Blu,Radisson Hotel Group,91,2021,verified,Operating,30.436,-9.593,Undisclosed,verified,
24,Hyatt Place Taghazout,Agadir / Taghazout,Souss-Massa,Upscale,Hyatt Place,Hyatt Hotels Corporation,172,2015,verified,Operating,30.4201,-9.5867,Undisclosed,verified,
27,Iberostar Waves Founty Beach Agadir,Agadir / Taghazout,Souss-Massa,Upscale,Iberostar,Iberostar Hotels & Resorts,470,2003,verified,Operating,30.4156,-9.5934,Undisclosed,verified,
35,Sofitel Rabat Jardin des Roses,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Luxury,Sofitel,Accor,229,2010,verified,Operating,33.9989,-6.8456,Risma,verified,
38,Ibis Rabat Agdal,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Midscale,Ibis,Accor,170,2017,verified,Operating,34.007,-6.83,Risma,verified,
40,Barceló Fès Medina,Fes,Fès-Meknès,Upscale,Barceló,Barceló Hotel Group,148,2011,verified,Operating,34.047,-5.011,Undisclosed,verified,
41,Ibis Fes,Fes,Fès-Meknès,Midscale,Ibis,Accor,123,1990,verified,Operating,34.03,-5.006,Risma,verified,
44,Radisson Blu Hotel Fes,Fes,Fès-Meknès,Upper Upscale,Radisson Blu,Radisson Hotel Group,224,2019,verified,Operating,34.042,-5.013,Undisclosed,verified,
49,DoubleTree by Hilton Casablanca City Centre,Casablanca,Grand Casablanca-Settat,Upper Upscale,DoubleTree,Hilton Hotels & Resorts,306,2025,verified,Operating,33.567,-7.592,Undisclosed,verified,
50,Ibis Casablanca Sidi Maarouf,Casablanca,Grand Casablanca-Settat,Midscale,Ibis,Accor,85,2014,verified,Operating,33.543,-7.636,Risma,verified,
52,Ibis Casablanca City Centre,Casablanca,Grand Casablanca-Settat,Midscale,Ibis Styles,Accor,120,2007,verified,Operating,33.564,-7.587,Risma,verified,
53,Marriott Casablanca,Casablanca,Grand Casablanca-Settat,Upper Upscale,Marriott,Marriott International,305,1989,verified,Operating,33.578,-7.606,Undisclosed,verified,"Originally opened as Sheraton, rebranded to Marriott in 2022"
55,Four Points by Sheraton Casablanca,Casablanca,Grand Casablanca-Settat,Upscale,Four Points,Marriott International,195,2025,verified,Operating,33.555,-7.599,Undisclosed,verified,
56,Courtyard by Marriott Casablanca,Casablanca,Grand Casablanca-Settat,Upscale,Courtyard,Marriott International,109,2024,verified,Operating,33.582,-7.589,Undisclosed,verified,
58,La Mamounia,Marrakech,Marrakech-Safi,Luxury,La Mamounia,Independent Luxury,209,1923,,Operating,31.6234,-8.0089,Société Anonyme Royale (State),verified,
59,Amanjena,Marrakech,Marrakech-Safi,Luxury,Amanjena,Aman Resorts,40,2000,,Operating,31.5934,-8.0423,Undisclosed,verified,
60,Es Saadi Resort & Palace Marrakech,Marrakech,Marrakech-Safi,Luxury,Es Saadi,Independent Luxury,92,1952,,Operating,31.636,-7.981,Undisclosed,verified,
61,Kasbah Tamadot,Marrakech,Marrakech-Safi,Luxury,Kasbah Tamadot,Virgin Limited Edition,42,2005,,Operating,31.65,-8.014,Undisclosed,verified,
65,Le Méridien N'Fis Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Le Méridien,Marriott International,277,1989,verified,Operating,31.62,-7.98,Madaëf,verified,
69,Kenzi Menara Palace,Marrakech,Marrakech-Safi,Upper Upscale,Kenzi Hotels,Kenzi Hotels Group,236,2009,verified,Operating,31.611,-7.996,Kenzi Hotels Group,verified,
70,Kenzi Rose Garden Hotel,Marrakech,Marrakech-Safi,Upscale,Kenzi Hotels,Kenzi Hotels Group,384,2019,verified,Operating,31.632,-7.984,Kenzi Hotels Group,verified,
71,Club Med Marrakech la Palmeraie,Marrakech,Marrakech-Safi,Upper Upscale,Club Med,Club Med,350,1966,verified,Operating,31.645,-8.002,Undisclosed,verified,
75,Hilton Taghazout Bay Beach Resort & Spa,Agadir / Taghazout,Souss-Massa,Upper Upscale,Hilton,Hilton Hotels & Resorts,280,2022,verified,Operating,30.439,-9.597,Undisclosed,verified,
98,Mercure Rabat Sheherazade,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Upscale,Mercure,Accor,77,1975,verified,Operating,34.011,-6.848,Risma,verified,
100,Palais Faraj Suites & Spa,Fes,Fès-Meknès,Luxury,Palais Faraj,Independent Luxury,31,2009,,Operating,34.0634,-4.9789,Undisclosed,verified,
104,Le Berbere Palace Ouarzazate,Ouarzazate,Drâa-Tafilalet,Upper Upscale,Berbere Palace,Independent Upper Upscale,249,1989,,Operating,30.9189,-6.8889,Undisclosed,verified,
105,Kenzi Azghor Ouarzazate,Ouarzazate,Drâa-Tafilalet,Upscale,Kenzi Hotels,Kenzi Hotels Group,110,2025,verified,Operating,30.928,-6.896,Kenzi Hotels Group,verified,
107,Ibis Ouarzazate Centre,Ouarzazate,Drâa-Tafilalet,Midscale,Ibis,Accor,104,2006,verified,Operating,30.919,-6.899,Risma,verified,
108,Dar Kamar Ouarzazate,Ouarzazate,Drâa-Tafilalet,Upscale,Dar Kamar,Independent Upscale,47,2010,,Operating,30.932,-6.915,Undisclosed,verified,
111,Dakhla Attitude,Dakhla,Dakhla-Oued Ed-Dahab,Luxury,Independent,Independent Luxury,90,2012,,Operating,23.6794,-15.9527,Undisclosed,verified,
121,Mazagan Beach & Golf Resort,El Jadida,Grand Casablanca-Settat,Luxury,Mazagan,Independent Luxury,500,2009,,Operating,33.2527,-8.5074,Kerzner International / Madaëf,verified,
122,Ibis El Jadida,El Jadida,Grand Casablanca-Settat,Midscale,Ibis,Accor,103,2005,verified,Operating,33.2527,-8.5034,Risma,verified,
123,Pullman El Jadida Beach Resort,El Jadida,Grand Casablanca-Settat,Upper Upscale,Pullman,Accor,180,2010,verified,Operating,33.2527,-8.4994,Risma,verified,
125,Palais Didi Meknes,Meknes,Fès-Meknès,Luxury,Palais Didi,Independent Luxury,12,2008,,Operating,33.8894,-5.5529,Undisclosed,verified,
126,Ibis Meknes,Meknes,Fès-Meknès,Midscale,Ibis,Accor,104,,unverified,Operating,33.8894,-5.5489,Risma,verified,
128,Zalagh Parc Palace Meknes,Meknes,Fès-Meknès,Upper Upscale,Zalagh Hotels,Zalagh Hotels Group,488,2003,verified,Operating,33.8934,-5.5529,Undisclosed,verified,
129,Atlas Meknes,Meknes,Fès-Meknès,Upscale,Atlas Hotels,Atlas Hospitality Group,100,,unverified,Operating,33.8934,-5.5489,Undisclosed,verified,
137,Iberostar Waves Saidia,Saidia,Oriental,Upper Upscale,Iberostar,Iberostar Hotels & Resorts,484,2021,verified,Operating,35.0849,-2.2294,Undisclosed,verified,
143,Radisson Blu Saidia,Saidia,Oriental,Upper Upscale,Radisson Blu,Radisson Hotel Group,397,2021,verified,Operating,35.0889,-2.2214,Undisclosed,verified,
146,Atlas Beni Mellal,Beni Mellal,Béni Mellal-Khénifra,Upscale,Atlas Hotels,Atlas Hospitality Group,27,,unverified,Operating,32.3314,-6.3449,Undisclosed,verified,
151,Diwan MGallery Rabat,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Upper Upscale,MGallery,Accor,94,2009,verified,Operating,34.0134,-6.8289,Risma,verified,
152,La Sultana Marrakech,Marrakech,Marrakech-Safi,Luxury,La Sultana,Independent Luxury,28,2006,,Operating,31.622,-8.002,Undisclosed,verified,
153,Selman Marrakech,Marrakech,Marrakech-Safi,Luxury,Selman,Independent Luxury,60,2012,,Operating,31.6456,-8.0234,Undisclosed,verified,
154,El Fenn Marrakech,Marrakech,Marrakech-Safi,Luxury,El Fenn,Independent Luxury,41,2003,,Operating,31.622,-8.003,Undisclosed,verified,
155,La Villa Des Orangers Relais & Châteaux Marrakech,Marrakech,Marrakech-Safi,Luxury,Villa des Orangers,Relais & Châteaux,30,1998,,Operating,31.621,-7.999,Undisclosed,verified,
156,Palais Namaskar Marrakech,Marrakech,Marrakech-Safi,Luxury,Palais Namaskar,Independent Luxury,41,2012,,Operating,31.648,-7.998,Undisclosed,verified,
157,Ksar Char-Bagh Marrakech,Marrakech,Marrakech-Safi,Luxury,Ksar Char-Bagh,Independent Luxury,15,2004,,Operating,31.639,-7.989,Undisclosed,verified,
158,Tigmiza Boutique Hotel and Spa Marrakech,Marrakech,Marrakech-Safi,Luxury,Tigmiza,Independent Luxury,27,2007,,Operating,31.649,-8.003,Undisclosed,verified,
159,Mövenpick Hotel Mansour Eddahbi Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Mövenpick,Accor,503,2016,verified,Operating,31.614,-7.98,Undisclosed,verified,
160,Hivernage Hotel and Spa Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Hivernage,Independent Upper Upscale,84,2008,,Operating,31.627,-7.974,Undisclosed,verified,
161,Les Deux Tours Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Les Deux Tours,Independent Upper Upscale,41,1996,,Operating,31.645,-7.991,Undisclosed,verified,
163,Iberostar Waves Club Palmeraie Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Iberostar,Iberostar Hotels & Resorts,318,2017,verified,Operating,31.646,-7.996,Undisclosed,verified,
164,Barrière Naroua Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Barrière,Groupe Lucien Barrière,85,2007,,Operating,31.634,-7.983,Undisclosed,verified,
167,Domaine des Remparts Marrakech,Marrakech,Marrakech-Safi,Upper Upscale,Domaine des Remparts,Independent Upper Upscale,32,2012,,Operating,31.618,-7.996,Undisclosed,verified,
168,Adagio Casablanca City Center,Casablanca,Grand Casablanca-Settat,Midscale,Adagio,Accor,96,2019,verified,Operating,33.568,-7.594,Groupe Richbond,verified,
169,Onomo Hotel Casablanca City Center,Casablanca,Grand Casablanca-Settat,Midscale,Onomo,Onomo Hotels,201,2019,verified,Operating,33.58,-7.605,Undisclosed,verified,
171,Sofitel Agadir Thalassa Sea & Spa,Agadir / Taghazout,Souss-Massa,Luxury,Sofitel,Accor,173,2012,verified,Operating,30.4089,-9.5998,Risma,estimated — key count uncertain,
174,Anezi Tower Hotel Agadir,Agadir / Taghazout,Souss-Massa,Upscale,Anezi Tower,Independent Upscale,394,2001,,Operating,30.4198,-9.5912,Undisclosed,verified,
180,Marriott Jnane Palace Fes,Fes,Fès-Meknès,Upper Upscale,Marriott,Marriott International,244,2017,verified,Operating,34.0456,-4.9978,Undisclosed,verified,
181,Palais Amani Fes,Fes,Fès-Meknès,Luxury,Palais Amani,Independent Luxury,18,2010,,Operating,34.0645,-4.9756,Undisclosed,verified,
183,Hotel Les Merinides Fes,Fes,Fès-Meknès,Upper Upscale,Les Mérinides,Independent Upper Upscale,106,1970,,Operating,34.0678,-5.0034,Undisclosed,verified,
185,Hotel Borj Rabat,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Upper Upscale,Barceló,Barceló Hotel Group,192,2024,verified,Operating,34.0156,-6.8378,Farah Hotels Group,verified,
187,Fairmont Rabat Sale,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Luxury,Fairmont,Accor,186,2022,verified,Open,34.0456,-6.8234,Undisclosed,verified,
188,Fairmont Taghazout Bay,Agadir / Taghazout,Souss-Massa,Luxury,Fairmont,Accor,153,2021,verified,Operating,30.5312,-9.7089,Undisclosed,verified,
189,Robinson Club Taghazout Bay,Agadir / Taghazout,Souss-Massa,Upscale,Robinson,TUI Hotels & Resorts,360,2022,verified,Operating,30.5278,-9.7123,Undisclosed,verified,
194,Lina Ryad & Spa Chefchaouen,Chefchaouen,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,17,2008,,Operating,35.1689,-5.2634,Undisclosed,verified,
196,Parador Chefchaouen,Chefchaouen,Tanger-Tétouan-Al Hoceima,Upscale,Parador,Independent Upscale,56,1998,,Operating,35.1678,-5.2645,Undisclosed,verified,
197,Mercure Quemado Al Hoceima,Al Hoceima,Tanger-Tetouan-Al Hoceima,Upper Upscale,Mercure,Accor,169,2014,verified,Operating,35.2489,-3.9367,Undisclosed,verified,
198,Atlas Al Hoceima,Al Hoceima,Tanger-Tetouan-Al Hoceima,Upscale,Atlas Hotels,Atlas Hospitality Group,80,,unverified,Operating,35.2512,-3.9334,Undisclosed,verified,
204,Palm Saidia Hotel,Saidia,Oriental,Upper Upscale,Palm Saidia,Independent Upper Upscale,240,2016,,Operating,35.0929,-2.2294,Undisclosed,unverified — existence uncertain,
207,Hotel Transatlantique Meknes,Meknes,Fès-Meknès,Upper Upscale,Transatlantique,Independent Upper Upscale,120,1941,,Operating,33.8934,-5.5449,Undisclosed,verified,
209,Dar Ahlam Ouarzazate,Ouarzazate,Drâa-Tafilalet,Luxury,Dar Ahlam,Independent Luxury,10,2001,,Operating,30.9234,-6.8934,Undisclosed,verified,
210,La Kasbah Hotel Ouarzazate,Ouarzazate,Drâa-Tafilalet,Upper Upscale,La Kasbah,Independent Upper Upscale,85,2006,,Operating,30.9267,-6.9012,Undisclosed,verified,
212,Dakhla Club Hotel and Spa,Dakhla,Dakhla-Oued Ed-Dahab,Upscale,Dakhla Club,Independent Upscale,53,2015,,Operating,23.6834,-15.9567,Undisclosed,verified,
213,Sahara Regency Dakhla,Dakhla,Dakhla-Oued Ed-Dahab,Upscale,Sahara Regency,Independent Upscale,100,2018,,Operating,23.6834,-15.9527,Undisclosed,verified,
217,Hotel Rif Nador,Nador,Oriental,Upscale,Hotel Rif,Independent Upscale,100,1995,,Operating,35.1712,-2.9329,Undisclosed,verified,
218,Atlas Nador,Nador,Oriental,Upscale,Atlas Hotels,Atlas Hospitality Group,85,,unverified,Operating,35.1712,-2.9289,Undisclosed,verified,
224,Amphitrite Palace Hotel,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Luxury,Amphitrite Palace,Independent Luxury,176,2008,,Operating,33.8512,-6.9178,Undisclosed,verified,
225,Zelis Hotel Asilah,Asilah,Tanger-Tetouan-Al Hoceima,Upper Upscale,Zelis,Independent Upper Upscale,65,2010,,Operating,35.4689,-6.0334,Undisclosed,verified,
226,Hotel Patio de la Luna Asilah,Asilah,Tanger-Tetouan-Al Hoceima,Upscale,Patio de la Luna,Independent Upscale,20,2008,,Operating,35.4667,-6.0312,Undisclosed,verified,
232,Kasbah Bab Ourika Marrakech,Marrakech,Marrakech-Safi,Luxury,Kasbah Bab Ourika,Independent Luxury,42,2010,,Operating,31.4601,-7.7001,Undisclosed,verified,
237,Azur Saidia Resort,Saidia,Oriental,Upscale,Azur,Independent Upscale,200,2017,,Operating,35.0929,-2.2254,Undisclosed,estimated — key count uncertain,
238,Kasbah Baha Baha Dakhla,Dakhla,Dakhla-Oued Ed-Dahab,Upscale,Kasbah Baha Baha,Independent Upscale,60,2016,,Operating,23.6874,-15.9607,Undisclosed,verified,
239,Riad Laaroussa Fes,Fes,Fès-Meknès,Luxury,Riad Laaroussa,Independent Luxury,4,2009,,Operating,34.0645,-4.9767,Undisclosed,verified,
244,Hotel Rif Meknes,Meknes,Fès-Meknès,Upscale,Hotel Rif,Independent Upscale,100,2008,,Operating,33.8974,-5.5489,Undisclosed,verified,
245,Hotel El Borj Nador,Nador,Oriental,Midscale,El Borj,Independent Midscale,55,2002,,Operating,35.1712,-2.9249,Undisclosed,verified,
252,Dar Echchaouen,Chefchaouen,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,24,2010,,Operating,35.1695,-5.2621,Undisclosed,verified,
256,Hilton Garden Inn Casablanca Sud,Casablanca,Casablanca-Settat,Upscale,Hilton Garden Inn,Hilton Hotels & Resorts,155,2022,verified,Open,33.5834,-7.6234,Undisclosed,verified,
258,Royal Mansour Casablanca,Casablanca,Casablanca-Settat,Ultra Luxury,Royal Mansour,Royal Mansour Collection,149,2019,,Open,33.5934,-7.6234,Royal Mansour Brand,verified,
260,Club Med Yasmina,Al Hoceima,Tanger-Tétouan-Al Hoceima,Upscale,Club Med,Club Med,342,1968,verified,Open,35.2456,-3.9289,Club Med (Fosun),verified,
261,Waldorf Astoria Rabat Salé,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Ultra Luxury,Waldorf Astoria,Hilton Hotels & Resorts,55,2025,verified,Operating,33.9889,-6.8512,Undisclosed,verified,
264,Nobu Hotel Marrakech,Marrakech,Marrakech-Safi,Luxury,Nobu Hospitality,Nobu Hospitality,71,2024,,Operating,31.6423,-8.0178,Undisclosed,verified,
265,Oberoi Marrakech,Marrakech,Marrakech-Safi,Ultra Luxury,Oberoi,Oberoi Hotels & Resorts,84,2023,,Operating,31.6089,-8.0389,Undisclosed,verified,
266,Marchica Lagoon Resort,Nador,Oriental,Upscale,Independent,Independent Upscale,188,2018,,Operating,35.1589,-2.9234,Marchica Med (State),estimated — key count uncertain,
267,Hotel Marchica,Nador,Oriental,Upscale,Independent,Independent Upscale,96,2015,,Operating,35.1612,-2.9256,Marchica Med (State),estimated — key count uncertain,
268,Marriott Rabat,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Upper Upscale,Marriott,Marriott International,188,2022,verified,Operating,34.0089,-6.8423,Madaëf,verified,
269,Royal Hideaway Casablanca,Casablanca,Casablanca-Settat,Luxury,Royal Hideaway,Barceló Hotel Group,310,2025,verified,Open,33.5921,-7.6198,Undisclosed,verified,
270,Barceló Anfa Casablanca,Casablanca,Casablanca-Settat,Upper Upscale,Barceló,Barceló Hotel Group,206,2018,verified,Open,33.5934,-7.6212,Undisclosed,verified,
271,Onomo Hotel Casablanca Airport,Casablanca,Casablanca-Settat,Midscale,Onomo,Onomo Hotels,135,2018,verified,Open,33.3731,-7.5898,Undisclosed,verified,
272,Onomo Hotel Casablanca Sidi Maarouf,Casablanca,Casablanca-Settat,Midscale,Onomo,Onomo Hotels,120,2018,verified,Open,33.5440,-7.6390,Undisclosed,verified,
273,Le Square by Onomo Collection,Casablanca,Casablanca-Settat,Upscale,Onomo Collection,Onomo Hotels,60,2025,verified,Open,33.5890,-7.6120,Undisclosed,verified,
275,Onomo Hotel Rabat Terminus,Rabat / Salé / Témara,Rabat-Salé-Kénitra,Midscale,Onomo,Onomo Hotels,118,2018,verified,Open,34.0134,-6.8289,Undisclosed,verified,
277,Amadil Beach Hotel Agadir,Agadir / Taghazout,Souss-Massa,Upscale,Independent,Independent Upscale,329,1995,,Open,30.4234,-9.5989,Undisclosed,verified,
278,TUI Suneo Kenzi Agadir,Agadir / Taghazout,Souss-Massa,Upscale,TUI Suneo,TUI Hotels & Resorts,236,1989,verified,Open,30.4178,-9.5934,Undisclosed,verified,
279,Riu Tikida Beach Adults Only,Agadir / Taghazout,Souss-Massa,Upscale,RIU,RIU Hotels & Resorts,254,1995,verified,Open,30.4067,-9.6034,Undisclosed,verified,
280,Riu Tikida Dunas,Agadir / Taghazout,Souss-Massa,Upscale,RIU,RIU Hotels & Resorts,406,2002,verified,Open,30.4089,-9.6012,Undisclosed,verified,
281,Tikida Golf Palace Agadir,Agadir / Taghazout,Souss-Massa,Upscale,Independent,Independent Upscale,54,2005,,Open,30.3934,-9.5456,Undisclosed,verified,
282,Tildi Hotel Agadir,Agadir / Taghazout,Souss-Massa,Upscale,Independent,Independent Upscale,116,1988,,Open,30.4156,-9.5978,Undisclosed,verified,
283,Ibis Marrakech Palmeraie,Marrakech,Marrakech-Safi,Midscale,Ibis,Accor,147,2007,verified,Open,31.6456,-7.9945,Risma,verified,
284,Riu Tikida Palmeraie Marrakech,Marrakech,Marrakech-Safi,Upscale,RIU,RIU Hotels & Resorts,392,2009,verified,Open,31.6478,-7.9978,Undisclosed,verified,
285,Zalagh Kasbah Hotel and Spa,Marrakech,Marrakech-Safi,Upper Upscale,Zalagh,Zalagh Hotels Group,344,2009,verified,Open,31.6312,-7.9845,Undisclosed,verified,
286,Es Saadi Resort Hotel Marrakech,Marrakech,Marrakech-Safi,Luxury,Es Saadi,Independent Luxury,150,2019,,Open,31.6178,-8.0245,Undisclosed,verified,
287,Park Hyatt Marrakech,Marrakech,Marrakech-Safi,Luxury,Park Hyatt,Hyatt Hotels Corporation,130,2023,verified,Open,31.6234,-8.0178,Undisclosed,verified,
288,Riyad Amine Fes,Fes,Fès-Meknès,Luxury,Independent,Independent Luxury,21,2005,,Open,34.0623,-4.9801,Undisclosed,verified,
289,Riad Fès Relais & Châteaux,Fes,Fès-Meknès,Luxury,Relais & Châteaux,Independent Luxury,32,2005,,Open,34.0645,-4.9812,Undisclosed,verified,
290,Sahrai Fes,Fes,Fès-Meknès,Luxury,Independent,Independent Luxury,50,2015,,Open,34.0701,-4.9634,Undisclosed,verified,
291,Sahrai Casablanca,Casablanca,Casablanca-Settat,Luxury,Independent,Independent Luxury,56,2022,,Open,33.5934,-7.6178,Undisclosed,verified,
292,Radisson Blu Al Hoceima,Al Hoceima,Tanger-Tétouan-Al Hoceima,Upper Upscale,Radisson Blu,Radisson Hotel Group,432,2021,verified,Open,35.2489,-3.9334,Undisclosed,verified,
293,Suites Mohammed V Al Hoceima,Al Hoceima,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,21,2018,,Open,35.2456,-3.9312,Undisclosed,verified,
294,Hotel Atlas Safari Meknes,Meknes,Fès-Meknès,Upscale,Atlas Hotels,Atlas Hospitality Group,19,,unverified,Operating,33.8914,-5.5509,Undisclosed,verified,
295,Radisson Blu Residences Saidia,Saidia,Oriental,Upper Upscale,Radisson Blu,Radisson Hotel Group,197,2023,verified,Operating,35.0912,-2.2256,Undisclosed,verified,
296,Belive Saidia,Saidia,Oriental,Upscale,Be Live Hotels,Globalia Hotels,488,2009,,Operating,35.0889,-2.2212,Undisclosed,verified,
297,Oasis Saidia Palace,Saidia,Oriental,Upscale,Independent,Independent Upscale,307,2010,,Operating,35.0901,-2.2234,Undisclosed,verified,
298,Bella Address Saidia,Saidia,Oriental,Luxury,Independent,Independent Luxury,15,2018,,Open,35.0923,-2.2198,Undisclosed,verified,
299,La Perle du Sud Ouarzazate,Ouarzazate,Drâa-Tafilalet,Upscale,Independent,Independent Upscale,68,2005,,Operating,30.9212,-6.8867,Undisclosed,verified,
300,Le Temple des Arts Ouarzazate,Ouarzazate,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,7,2012,,Open,30.9234,-6.8934,Undisclosed,verified,
301,Warda Ouarzazate,Ouarzazate,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,24,2015,,Open,30.9189,-6.8912,Undisclosed,verified,
302,Amanar Ouarzazate,Ouarzazate,Drâa-Tafilalet,Luxury,Independent,Independent Luxury,77,2010,,Open,30.9156,-6.8956,Undisclosed,verified,
303,Zelis Hotel Asilah,Asilah,Tanger-Tétouan-Al Hoceima,Upscale,Independent,Independent Upscale,55,2010,,Open,35.4656,-6.0334,Undisclosed,verified,
304,Patio de la Luna Asilah,Asilah,Tanger-Tétouan-Al Hoceima,Luxury,Independent,Independent Luxury,6,2008,,Open,35.4645,-6.0345,Undisclosed,verified,
305,La Colline Beni Mellal,Beni Mellal,Béni Mellal-Khénifra,Upscale,Independent,Independent Upscale,30,2012,,Open,32.3367,-6.3512,Undisclosed,verified,
306,Hotel Hadaik Ain Asserdoune Beni Mellal,Beni Mellal,Béni Mellal-Khénifra,Upscale,Independent,Independent Upscale,48,2008,,Open,32.3389,-6.3478,Undisclosed,verified,
307,Alecanti Hotel Beni Mellal,Beni Mellal,Béni Mellal-Khénifra,Upscale,Independent,Independent Upscale,32,2015,,Open,32.3345,-6.3534,Undisclosed,verified,
308,Appart Hotel Golden Sky Home Beni Mellal,Beni Mellal,Béni Mellal-Khénifra,Midscale,Independent,Independent Midscale,24,2018,,Open,32.3312,-6.3556,Undisclosed,verified,
309,Velsatis Hotel Beni Mellal,Beni Mellal,Béni Mellal-Khénifra,Upscale,Independent,Independent Upscale,15,2016,,Open,32.3356,-6.3489,Undisclosed,verified,
310,Hotel La Luna Beni Mellal,Beni Mellal,Béni Mellal-Khénifra,Midscale,Independent,Independent Midscale,40,2014,,Open,32.3378,-6.3501,Undisclosed,verified,
311,Tulum Beach Resort Dakhla,Dakhla,Dakhla-Oued Ed-Dahab,Luxury,Independent,Independent Luxury,44,2018,,Open,23.6812,-15.9589,Undisclosed,verified,
